wiki_id,scan,rt,precursor_mz,charge,binbase-splash,user_annotation-name,key,library_search-identity_score,smiles,msms,hidden,ms1_inte,adduct,method
aYSUJ8A/SZ2M5K79,16,154.8,794.70959,1,splash10-0006-0900000000-ceefc8d951daf9b1c10b,1_SM 22:1 (d18:1/22:1)-d9,16,0.8995998501777649,[2H]C([2H])([2H])[N+](CCOP(=O)([O-])OC[CH](N=C(O)CCCCCCCCCCCC=CCCCCCCCC)[CH](O)C=CCCCCCCCCCCCCC)(C([2H])([2H])[2H])C([2H])([2H])[2H],"64.10368	9416.0
66.11642	6018.0
68.13055	6109.0
69.13735	122028.0
77.11073	11498.0
81.85607	6037.0
95.15294	497004.0
98.98451	7225.0
113.16348	96266.0
123.44024	5645.0
124.99982	171096.0
192.12361	108062.0
192.38252	6122.0
192.7547	5301.0
193.12982	9843434.0
193.87764	5223.0
211.75447	5184.0
215.05801	57044.0
264.2679	29914.0
339.3409	5898.0
355.37466	4819.0",False,0.0,[M+H]+,5m splash one premier | orbitrap | beh c18 | positive
aYSUJ8A/IZQ04IQ0,17,123.0,681.52257,1,splash10-0006-5210090000-1a4a857092ae85a555a9,1_PE 17:0-14:1-d5,17,0.9367483258247375,[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C]([2H])(OC(=O)CCCCCCCC=CCCCC)C([2H])([2H])OP(=O)([O-])OCC[N+](C)(C)C,"67.05437	62277.0
69.06992	76318.0
71.04893	4370.0
71.08556	79213.0
79.05408	12050.0
81.06998	72414.0
83.08549	69913.0
85.06469	4311.0
85.0789	3405.0
85.10121	60047.0
90.4283	3183.0
93.06989	25089.0
95.08556	98823.0
97.10129	64127.0
107.08524	17272.0
109.10117	81658.0
111.08012	5625.0
111.11659	18570.0
121.10121	57256.0
123.04156	4571.0
123.11671	30629.0
124.62578	2890.0
135.11679	45126.0
137.13205	4022.0
149.13197	14423.0
165.16235	3056.0
176.61469	3028.0
191.17882	14462.0
209.18976	28711.0
215.12048	31198.0
252.2317	33919.0
253.25162	15179.0
288.25763	20695.0
296.29474	6942.0
332.32123	19112.0
540.5032	957529.0",False,0.0,[M+H]+,5m splash one premier | orbitrap | beh c18 | positive
aYSUJ8A/2CU3GI2Y,18,137.4,709.55387,1,splash10-014i-4100090000-39137d6f92073bbac80c,1_PE 17:0-16:1-d5,18,0.9611439108848572,[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C]([2H])(OC(=O)CCCCCCCC=CCCCCCC)C([2H])([2H])OP(=O)([O-])OCC[N+](C)(C)C,"67.05432	73384.0
69.06995	84695.0
71.08555	100667.0
74.25633	3655.0
79.05413	15968.0
81.06992	128713.0
83.08554	108364.0
85.06458	6277.0
85.1012	65735.0
93.06973	21693.0
95.08553	145730.0
97.06477	13280.0
97.10112	82569.0
107.08535	19464.0
109.10117	72129.0
111.07993	5620.0
111.11663	29713.0
121.1011	52976.0
123.11681	44616.0
131.93724	3372.0
135.1167	46255.0
136.20921	3075.0
137.1328	28726.0
149.13243	18228.0
151.14778	4404.0
163.14783	4046.0
219.21059	20489.0
220.69206	4996.0
237.2209	43350.0
253.2528	25118.0
280.26294	49946.0
296.29428	15995.0
316.28833	28410.0
332.32028	20950.0
568.53424	1570452.0
709.39075	4715.0",False,0.0,[M+H]+,5m splash one premier | orbitrap | beh c18 | positive
aYSUJ8A/01JK1951,19,145.2,829.64777,1,splash10-001i-1900000000-ceddd35c1d08057bdc50,1_PC 17:0-22:4-d5,19,0.9385467171669006,[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C]([2H])(OC(=O)CCCCCC=CCC=CCC=CCC=CCCCCC)C([2H])([2H])OP(=O)([O-])OCC[N+](C)(C)C,"60.08102	362044.0
62.71928	14744.0
71.07293	99623.0
86.09647	1754607.0
98.9845	79149.0
104.10721	131035.0
124.99986	726377.0
167.154	111678.0
184.07336	16657719.0
185.07715	31796.0
198.89162	14227.0
220.6752	24813.0
